ticker,Date0,Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11,Date12,Date13,Date14,Date15,Date16,Date17,Date18,Date19,Date20,Date21,Date22,Date23,Date24,Date25,Date26,Date27,Date28,Date29,Date30,Date31,Date32,Date33,Date34,Date35,Date36,Date37,Date38,Date39,Date40,Date41,Date42,Date43,Date44,Date45,Date46,Date47,Date48,Date49,Date50,Date51,Date52,Date53,Date54,Date55,Date56,Date57,Date58,Date59,Date60,Date61,Date62,Date63,Date64,Date65,Date66,Date67,Date68,Date69,Date70,Date71,Date72,Date73,Date74,Date75,Date76,Date77,Date78,Date79,Date80,Date81,Date82,Date83,Date84,Date85,Date86,Date87,Date88,Date89,Date90,Date91,Date92,Date93,Date94,Date95,Date96,Date97,Date98,Date99
AAPL,140.3600,143.1100,137.5900,137.3500,140.8200,149.2400,145.5400,147.1100,142.5600,146.5000,154.5100,152.0600,157.2800,156.7700,166.0200,159.4800,157.9600,157.6500,163.6400,156.5700,156.8000,162.8800,161.7900,166.4200,167.2300,167.4000,165.0700,165.2900,170.4000,167.6600,165.7500,170.0900,172.1400,171.8300,175.0600,178.4400,174.3100,174.6100,177.7700,178.9600,175.6000,174.7200,174.0700,170.2100,168.8200,165.3800,163.9800,160.6200,159.5900,155.0900,150.6200,154.7300,158.5200,162.9500,157.4400,159.3000,163.1700,166.2300,166.5600,163.2000,165.1200,164.8500,162.7400,160.0700,164.3200,167.3000,168.8800,172.5500,172.7900,168.8800,168.6400,172.1200,176.2800,174.8300,171.6600,172.3900,172.9000,175.8400,174.6100,174.7800,170.3300,159.2200,159.6900,159.7800,161.6200,162.4100,164.5100,166.2300,169.8000,173.0700,172.1900,175.5300,175.0800,172.1900,172.1700,172.0000,174.9200,179.7000,182.0100,177.5700
MSFT,259.6200,260.6500,252.5600,253.1400,254.0800,266.8200,261.5000,261.1200,255.3500,260.5500,269.5000,264.5800,274.7300,277.3500,289.9800,281.7800,284.4700,277.5200,289.6300,283.2200,270.2200,280.7200,274.0300,280.8100,286.3600,285.3000,280.5200,279.8300,287.6200,282.0600,285.2600,296.9700,301.3700,299.5000,310.8800,314.9700,309.4200,308.3100,313.8600,315.4100,310.7000,303.6800,304.1000,299.4900,304.0600,299.1600,300.4300,295.2200,294.3900,287.1500,276.4400,280.0700,285.5900,288.5000,275.8500,278.9100,289.8600,295.9200,300.1900,294.9500,298.7900,297.3100,294.5900,280.2700,287.7200,287.9300,290.7300,299.5000,300.4700,295.0000,295.0400,302.3800,311.2100,304.5600,300.9500,305.9400,301.2500,313.4600,308.7600,310.9800,308.2600,299.8400,296.7100,288.4900,296.3700,296.0300,301.6000,303.3300,302.6500,310.2000,304.8000,318.2700,314.9800,314.2700,314.0400,313.8800,316.3800,329.0100,334.7500,336.3200
AMZN,2082.0000,2151.1400,2151.8200,2146.3800,2142.2500,2307.3700,2216.2100,2261.1000,2138.6100,2107.4400,2177.1800,2175.7800,2295.4500,2328.1400,2518.5700,2485.0700,2490.0000,2485.6300,2891.9300,2763.3400,2787.8200,2921.4800,2887.0000,2965.9200,3079.9600,3162.3100,3055.7000,3034.1300,3110.8200,3015.7500,3022.4400,3089.2100,3155.6900,3175.1200,3281.1000,3366.9300,3271.2000,3259.9500,3326.0200,3386.3000,3379.8100,3295.4700,3272.9900,3268.1600,3297.7800,3229.8300,3225.0100,3144.7800,3062.0800,2947.3300,2837.0600,2910.4900,2936.3500,2785.5800,2720.2900,2749.0600,2912.8200,2957.9700,3041.0500,3022.8400,3071.2600,3075.7700,3027.1600,2896.5400,3003.9500,3052.0300,3093.0500,3162.0100,3130.2100,3103.3400,3065.8700,3180.0700,3223.7900,3228.2700,3158.7100,3152.7900,2776.9100,3012.2500,3023.8700,2991.4700,2879.5600,2792.7500,2777.4500,2799.7200,2890.8800,2852.8600,3033.3500,3125.9800,3178.3500,3242.7600,3224.2800,3304.1400,3307.2400,3229.7200,3251.0800,3265.0800,3287.1400,3350.4400,3408.0900,3334.3400
GOOGL,2119.4000,2229.7600,2178.1600,2207.6800,2237.9900,2329.4600,2288.9000,2321.0100,2256.8800,2272.0500,2287.9000,2250.2200,2314.9300,2330.1100,2445.2200,2346.6800,2331.6600,2282.1900,2370.4500,2285.8900,2373.0000,2461.4800,2392.7100,2496.2900,2560.8000,2600.1800,2553.5300,2534.6000,2597.8800,2554.2900,2576.4700,2665.7500,2717.7700,2730.9600,2811.8200,2859.4300,2803.0100,2781.3500,2838.7700,2850.1100,2829.1100,2833.4600,2831.4400,2765.5100,2797.3600,2722.0300,2722.5100,2676.7800,2665.6100,2583.9600,2519.0200,2597.4100,2648.5900,2668.4000,2542.0900,2527.5700,2638.1300,2677.9900,2691.4300,2681.2300,2701.1400,2689.1900,2653.8200,2551.7600,2596.2700,2608.0600,2650.7800,2754.7600,2732.1700,2710.5200,2685.6500,2772.4000,2831.8400,2787.9800,2784.0200,2865.8600,2861.8000,2960.0000,2752.8800,2706.0700,2667.0200,2580.1000,2584.6600,2538.7000,2616.0800,2607.0300,2666.1500,2702.3300,2719.9600,2789.6100,2771.7400,2828.6100,2794.7200,2773.3900,2740.3400,2754.9500,2755.5000,2887.9900,2899.8300,2897.0400
GOOG,2118.5200,2233.3300,2186.2600,2214.9100,2248.0200,2334.0300,2295.8500,2330.3100,2263.2200,2279.2200,2291.6900,2261.6800,2313.2000,2334.9300,2451.5000,2362.5900,2343.1400,2299.3300,2388.2300,2300.4100,2390.1200,2465.0000,2392.2800,2498.7500,2564.9100,2610.6200,2559.2200,2545.0600,2605.7200,2567.4900,2595.9300,2680.2100,2729.3000,2743.5200,2821.2600,2872.8500,2814.0000,2792.9900,2852.8900,2865.0000,2839.0000,2830.4300,2826.2400,2770.0700,2805.5500,2729.5700,2736.0300,2692.0100,2673.8100,2593.2100,2534.8200,2609.5100,2653.6400,2677.3200,2545.5700,2529.2900,2642.4400,2686.1600,2695.0300,2683.3600,2697.8200,2690.3900,2653.4700,2551.7000,2588.0500,2609.3500,2646.1700,2749.7500,2728.5100,2706.0000,2682.6000,2772.0500,2829.0600,2784.2600,2778.7600,2860.3200,2853.0100,2960.7300,2757.5700,2713.9700,2665.7900,2582.4200,2584.8000,2534.7100,2607.4400,2601.8400,2670.1300,2713.0400,2725.8100,2795.7300,2782.6200,2832.9600,2800.3500,2771.4800,2740.0900,2751.0200,2753.0700,2888.3300,2901.4900,2893.5900
BRK.B,309.1700,310.2000,304.0500,304.1500,306.6400,314.6000,309.2900,310.3600,308.0600,311.5400,312.5300,312.9600,318.8800,318.6800,326.8000,318.9900,318.1900,322.8300,331.2700,329.5800,330.6500,336.9500,335.5600,343.6000,348.8200,348.5000,346.6500,344.3300,346.2200,349.7400,352.0200,353.1000,346.5100,344.7100,344.8000,345.4300,351.8800,352.9100,357.6100,355.1200,359.5700,358.7600,352.3700,348.1600,349.9300,349.6600,342.4100,344.9700,336.1100,332.5500,329.9800,326.6000,325.3000,325.4000,318.5200,322.7200,325.3400,327.7400,323.6400,316.8400,321.4500,319.2400,308.2800,309.9900,314.1600,314.8000,313.5500,315.6500,316.2000,314.2800,319.1400,319.8500,322.3800,321.4400,316.5100,314.9900,315.2300,319.6000,313.9600,313.0200,312.9000,307.6700,309.2600,307.1900,303.7300,305.2200,311.0100,314.7500,320.2900,324.1300,321.2600,320.3900,319.8000,318.9300,319.7800,313.2200,309.9200,308.5300,300.7900,299.0000
TSLA,628.1600,674.9000,663.9000,709.4200,709.8100,761.6100,724.3700,769.5900,728.0000,734.0000,800.0400,787.1100,865.6500,873.2800,952.6200,909.2500,902.9400,870.7600,877.5100,881.5100,876.4200,998.0200,1005.0500,1008.7800,977.2000,1028.1500,1004.2900,985.0000,1022.3700,986.9500,975.9300,1025.4900,1057.2600,1045.7600,1091.2600,1145.4500,1084.5900,1077.6000,1093.9900,1099.5700,1091.8400,1010.6400,1013.9200,999.1100,993.9800,921.1600,905.3900,871.6000,840.2300,801.8900,766.3700,795.3500,838.3000,858.9700,824.4000,804.5800,838.2900,839.2900,879.8900,864.3700,870.4300,809.8700,800.7700,764.0400,821.5300,856.9800,876.3500,923.3900,922.4300,875.7600,860.0000,904.5500,932.0000,922.0000,907.3400,923.3200,891.1400,905.6600,931.2500,936.7200,846.3500,829.1000,937.4100,918.4000,930.0000,943.9000,996.2700,995.6500,1030.5100,1049.6100,1031.5600,1106.2200,1064.4000,1058.1200,1026.9600,1064.7000,1088.1200,1149.5900,1199.7800,1056.7800
JNJ,181.4000,179.4400,176.9800,173.9400,175.5000,178.8200,178.0800,176.8500,177.8700,176.1300,177.0900,177.3300,176.3700,176.7600,180.2000,178.2900,178.6400,180.4600,183.4600,182.1000,184.6800,186.0100,181.5400,183.3600,183.8900,183.0800,177.6600,179.9000,180.6600,179.9000,179.8400,182.1200,181.7600,182.2300,177.6100,176.4700,178.1900,177.2300,179.5900,177.7400,177.8300,176.9200,175.2400,174.3400,175.0000,175.8300,174.8400,176.8000,174.5200,176.1400,171.6900,169.3500,169.6600,169.3600,168.7200,172.2100,169.4800,168.4800,166.0400,164.0000,164.5700,166.0000,158.1400,161.2200,161.1400,163.3600,166.1900,167.2100,167.3100,165.6000,167.7100,169.4200,171.4900,171.5100,171.0600,171.6300,172.7600,172.7700,170.8800,172.2900,171.7900,170.5900,168.3800,167.6300,162.9700,164.8700,165.2500,166.5800,167.1000,167.8400,168.7600,169.7900,171.2500,173.0900,173.9500,171.6300,172.2200,171.0800,171.5400,171.0700
UNH,497.5600,492.0800,485.7300,478.5500,471.3800,492.5300,489.2200,485.4000,478.8000,486.1500,488.0100,486.4200,499.6200,494.7200,507.6200,499.6200,501.1500,508.5500,524.4200,513.8100,513.7800,524.2700,520.9400,537.4400,546.0100,537.7000,534.0800,534.8200,537.0000,533.7100,537.4400,545.9600,536.9500,531.7500,517.7600,510.0200,512.5900,509.9700,520.8200,510.7300,513.2000,513.0300,513.4600,503.2300,505.3200,507.6600,506.1200,507.0200,498.2600,497.9100,487.9200,482.8700,491.4400,485.5700,473.4600,486.8700,498.6500,486.5900,485.3800,476.2500,475.8700,475.7500,455.8900,459.6200,462.5100,467.8100,470.3400,480.0500,478.2300,474.4000,478.1300,486.7200,498.1000,493.4100,483.7000,483.1700,488.7700,479.7800,468.4100,472.5700,466.0600,461.6000,458.4300,456.8400,462.2700,461.1700,463.0000,462.5200,460.9900,468.6900,467.4300,473.7200,469.0000,465.0000,458.6000,469.6500,489.6900,490.9000,502.2800,502.1400
FB,181.2800,196.2300,193.5400,191.2900,192.2400,202.6200,200.0400,198.6200,191.2400,188.7400,197.6500,196.2100,203.7700,208.2800,223.4100,212.0300,211.1300,200.4700,205.7300,174.9500,180.9500,186.9900,184.1100,188.0700,200.4200,217.3100,210.7700,210.1800,214.9900,214.1400,216.4600,222.3300,222.9500,223.3000,231.8400,233.8900,224.8500,222.3600,227.8500,229.8600,223.5900,221.8200,219.5700,213.4600,216.6500,211.4900,216.4900,207.8400,203.6300,192.0300,186.6300,187.6100,195.2100,198.5000,190.2900,187.4700,200.0600,202.9700,208.1100,203.4900,211.0300,210.4800,207.6000,198.4500,202.0800,206.1600,207.7100,216.5400,221.0000,217.7000,219.5500,228.0700,232.0000,220.1800,224.9100,237.0900,237.7600,323.0000,319.0000,313.2600,301.7100,294.6400,294.6300,300.1500,308.7100,303.1700,316.5600,319.5900,318.1500,331.9000,326.4800,333.2600,334.3700,328.0700,331.7900,332.4600,324.1700,336.5300,338.5400,336.3500
